Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency
FallL,1,216.4,881,-134.7,5.6,293,1.4,178.1,-4,164.4,33.5,0,24.25
FallL,2,417.2,1391,-136.9,1.5,50,-2.1,161.6,6,165.8,33,0,24.25
FallL,2,417.2,1394,-132.4,5.9,48,0.3,352.9,-4,161.9,14.7,0,24.25
FallL,2,417.2,1398,-129.8,2.6,55,-1.8,150,9,159.6,6.9,0,24.25
FallL,2,417.2,1402,-131.5,4.1,48,-0.4,5.9,0,161.4,3.9,0,24.25
FallL,2,417.2,1406,-132.8,0.3,47,-6.4,153.8,8,162.1,8.8,0,24.25
FallL,2,417.2,1411,-139.2,2.2,33,-1.7,3.6,9,169.1,4.5,0,24.25
FallL,2,417.2,1416,-138.8,1.8,67,-1.2,5.3,5,168.7,39.4,0,24.25
FallL,2,417.2,1421,-126.9,1.9,44,-7.1,18.1,4,156.9,1.9,0,24.25
FallL,2,417.2,1426,-128.3,0.7,54,-4.7,359.8,-3,158.3,4.8,0,24.25
FallL,2,417.2,1431,-139.5,5.4,37,-1.5,21.1,-5,168.6,9.5,0,24.25
FallL,2,417.2,1437,-141.6,0.2,62,2,161.4,10,171,27.2,0,24.25
FallL,2,417.2,1442,-147.7,0.8,42,-0.1,345.2,-3,172.7,35.4,0,24.25
FallL,2,417.2,1448,-145.4,5,37,3.3,340.7,-13,175.4,8,0,24.25
FallL,2,417.2,1454,-145.6,2.6,39,-2.2,0.3,-6,174.6,22.2,0,24.25
FallL,2,417.2,1460,-145.3,6,45,-4,352.8,-9,167,28.1,0,24.25
FallL,2,417.2,1465,-146.7,3.3,37,1.1,151.1,8,175.4,36.8,0,24.25
FallL,2,417.2,1471,-146.6,6.2,56,0,352.8,-7,166.9,24.3,0,24.25
FallL,2,417.2,1484,-157.7,3.6,63,-0.7,4.8,-6,181.4,59.3,0,24.25
FallL,2,417.2,1490,-159.3,2,38,-6.2,11.7,2,166.5,7.3,0,24.25
FallL,2,417.2,1496,-147.5,5.8,29,-2.6,26,2,176.5,34.5,0,24.25
FallL,2,417.2,1502,-159,5.2,43,-1.2,146.8,4,174.6,40.8,0,24.25
FallL,2,417.2,1509,-157.6,1.7,35,-2,21.5,7,171.4,51,0,24.25
FallL,2,417.2,1534,-158.8,5.2,54,-1,343.5,-5,176.8,69,0,24.25
FallL,2,417.2,1566,-143.1,2.4,55,-4.6,164.7,13,171,82.1,0,24.25
FallL,2,417.2,1569,-156,3.3,51,-4.2,158.9,5,165,24.8,0,24.25
FallL,2,417.2,1572,-146.8,0.3,30,-1,19.3,10,176.1,44.2,0,24.25
FallL,2,417.2,1576,-157.8,6.2,49,-1.6,23.4,-3,171,23.5,0,24.25
FallL,2,417.2,1579,-158.8,3,55,-0.2,169.5,12,175.6,81.5,0,24.25
FallL,2,417.2,1583,-154.6,5.8,57,-6.6,156.8,-10,183,78.1,0,24.25
FallL,2,417.2,1586,-156.5,4.3,53,1.8,146.8,7,163.5,14.8,0,24.25
FallL,2,417.2,1606,-157.4,2,40,-3.6,349.1,-5,171.4,44.9,0,24.25
FallL,2,417.2,1618,-158.2,2.3,30,-3.7,337.5,-8,185.9,85.3,0,24.25
FallL,2,417.2,1715,-160,1.1,45,-0.6,148,9,168.8,31.6,0,24.25
FallL,2,417.2,1719,-155.7,2.8,65,-2.1,4.5,4,169.4,45.8,0,24.25
FallL,2,417.2,1724,-159.7,5.7,52,0,164.4,4,169.1,40.6,0,24.25
