Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency
WinterL,2,358.5,1226,-149.9,3.9,167,-3.8,87,11,179.9,5.3,3,24.25
WinterL,2,358.5,1235,-143,1.2,160,-9.8,257.3,5,172.9,8.7,3,24.25
WinterL,2,358.5,1244,-147,2.9,179,-9.9,238.8,2,177,3.2,3,24.25
WinterL,2,358.5,1254,-156,4.7,167,-8.3,254.9,12,182.4,22.6,3,24.25
WinterL,2,358.5,1286,-157.8,2.2,177,-13.4,76.5,7,187.6,13.4,3,24.25
WinterL,2,358.5,1340,-154.4,1.9,167,-11.9,129.5,-1,184.3,17.6,3,24.25
WinterL,2,358.5,1343,-159.8,6.1,178,-10,125.8,-4,177.8,36.7,3,24.25
WinterL,2,358.5,1349,-156.6,2.8,176,-6.6,252.3,7,186.2,28.7,3,24.25
WinterL,3,444.9,1483,-130,4.7,93,-13.9,100.1,12,160,1.2,3,24.25
WinterL,3,444.9,1485,-137.9,0.6,136,-7.7,310.9,10,164.9,29,3,24.25
WinterL,3,444.9,1488,-139.3,0.4,105,-8.8,312.5,8,169.2,10.3,3,24.25
WinterL,3,444.9,1491,-144.2,5,130,-7.7,95.3,11,171.5,46.6,3,24.25
WinterL,3,444.9,1493,-141.3,0,143,-9.7,115.2,4,170.8,31.9,3,24.25
WinterL,3,444.9,1496,-137.6,1.4,133,-14.7,304,3,167.6,3.3,3,24.25
WinterL,3,444.9,1498,-139.9,1.7,121,-5.7,300.6,11,169.8,5.9,3,24.25
WinterL,3,444.9,1501,-144.2,4.4,138,-10.7,90.4,9,173.8,9.4,3,24.25
WinterL,3,444.9,1503,-135.5,5.1,134,-4.1,308.3,16,164.5,11.4,3,24.25
WinterL,3,444.9,1531,-129.4,4.1,142,-4.3,315.7,15,159.3,6.3,3,24.25
WinterL,3,444.9,1534,-151.1,2.9,130,-11.2,103.3,13,176.7,42.4,3,24.25
WinterL,3,444.9,1537,-152.4,4.8,118,-12.1,103.8,13,178.7,30.6,3,24.25
WinterL,3,444.9,1541,-149.7,3.7,138,-4.8,319.3,6,169.2,25.8,3,24.25
WinterL,3,444.9,1574,-139.6,4.7,139,-9.9,315.9,8,165.9,33.4,3,24.25
WinterL,3,444.9,1578,-145.6,3.9,117,-6.2,115,10,175.6,7.1,3,24.25
WinterL,3,444.9,1585,-136.9,1.8,124,-11.5,96.3,7,166.8,15.9,3,24.25
WinterL,3,444.9,1595,-134.6,0.8,147,-10.9,108.5,13,164.6,8,3,24.25
WinterL,3,444.9,1606,-151.6,3,127,-10.4,110,7,180.4,26.1,3,24.25
WinterL,3,444.9,1618,-156,3.2,119,-17,309.3,6,184.6,49.4,3,24.25
WinterL,3,444.9,1632,-148.9,1.4,115,-5.4,311,8,177,66.9,3,24.25
WinterL,3,444.9,1698,-159.2,1.8,132,-11.3,99.4,18,180.9,71.8,3,24.25
WinterH,1,286,953,-126.1,5.8,10,-7,198.9,7,156.1,0.5,3,24.25
WinterH,1,286,956,-134.2,1.6,21,-11.4,203.6,5,163.5,1.7,3,24.25
WinterH,1,286,961,-139.9,3.8,19,-7.4,201.8,2,164.5,3.2,3,24.25
WinterH,1,286,966,-145.6,1.5,25,-13.9,215.1,8,174.9,3.5,3,24.25
WinterH,1,286,972,-141.2,2.1,21,-11.7,207.3,-7,170.8,3.5,3,24.25
WinterH,1,286,978,-139.5,4.2,46,-9.2,189.3,-1,169.4,0.9,3,24.25
WinterH,1,286,985,-136.9,0.4,48,-9,200.3,6,166.9,3.5,3,24.25
WinterH,1,286,991,-148.5,6.2,40,-16.8,205.4,-2,178.3,4.6,3,24.25
WinterH,1,286,998,-144.1,5.7,7,-12.7,204.8,-13,174.1,5.8,3,24.25
WinterH,2,239.5,798,-130.2,5.2,117,-8.3,73.5,7,159.9,8.5,3,24.25
WinterH,2,239.5,802,-121.6,4.2,106,-7.2,83.1,15,151.5,3.9,3,24.25
WinterH,2,239.5,807,-127.5,3.5,107,-3.9,298,24,157.5,5.2,3,24.25
WinterH,2,239.5,813,-134.2,6,105,-11.8,87.4,16,155.8,4.7,3,24.25
WinterH,2,239.5,819,-122.7,5.6,121,-3.6,69.8,18,152.7,1.3,3,24.25
WinterH,2,239.5,827,-119.8,0.8,119,-6.8,127.6,-12,149.8,0.5,3,24.25
WinterH,2,239.5,834,-126,2.8,82,-12.6,126.2,-5,156,0.8,3,24.25
WinterH,2,239.5,842,-133.3,1.9,115,-4.1,79.2,22,161.8,15.4,3,24.25
WinterH,2,239.5,851,-140.4,0.8,90,-3.4,129.5,2,170,8.9,3,24.25
WinterH,2,239.5,860,-139.5,2,110,-11.3,79.6,10,159,17,3,24.25
WinterH,2,239.5,869,-143.1,2.3,100,-5.5,74.9,12,164.1,23.1,3,24.25
WinterH,2,239.5,878,-143.5,5.4,111,-1.6,76.4,11,163.8,24.9,3,24.25
WinterH,2,239.5,888,-150.4,1.1,122,-2.1,84.8,6,175.9,56.5,3,24.25
WinterH,2,239.5,898,-157.3,0.6,118,-3.4,286.9,13,178.7,30.1,3,24.25
WinterH,2,239.5,908,-152.9,0.1,107,-8.7,295.7,3,178.8,56.3,3,24.25
WinterH,2,239.5,940,-157.1,2.3,107,-8,282.4,15,179.9,55.7,3,24.25
WinterH,2,239.5,1126,-148.3,0,127,-7.7,91.2,3,177.4,117,3,24.25
WinterH,2,239.5,1129,-148.6,3.1,101,-7.5,124.5,-3,175.8,145,3,24.25
WinterH,2,239.5,1135,-158.6,4.7,105,-7.4,298.1,16,165.8,41,3,24.25
WinterH,2,239.5,1143,-148.1,4.2,102,-10.6,126.5,2,176.1,132.9,3,24.25
WinterH,2,239.5,1151,-159.8,1.1,120,-8.9,283.9,3,178.7,87.7,3,24.25
WinterH,2,239.5,1161,-149.2,6.3,98,-5.5,296.3,15,173.6,159.3,3,24.25
WinterH,2,239.5,1171,-157.7,5.6,111,-3.8,125.1,-2,171.5,62.9,3,24.25
WinterH,3,410.4,1368,-127,0.7,95,-0.5,282.4,-5,157,1.5,3,24.25
WinterH,3,410.4,1372,-146.8,2.7,99,-4.7,294.4,-1,171,60.2,3,24.25
WinterH,3,410.4,1379,-147.7,5.3,84,-15,293,-11,173.7,57.4,3,24.25
WinterH,3,410.4,1388,-134.6,4,84,-9.3,184,5,164.6,14.6,3,24.25
WinterH,3,410.4,1398,-153.5,5.2,107,-6.8,179.4,3,182.6,91.4,3,24.25
WinterH,3,410.4,1410,-158.5,0.5,122,-13.2,38.7,-5,188.3,20.5,3,24.25
WinterH,3,410.4,1423,-146.9,6.2,99,-6.4,188.5,-6,176.7,26.5,3,24.25
WinterH,3,410.4,1437,-152.1,4.5,87,-10.4,176.9,3,171.9,27.1,3,24.25
WinterH,3,410.4,1479,-134.5,2.2,101,-8.4,301.4,6,164.4,5.6,3,24.25
WinterH,3,410.4,1483,-136.9,3.8,83,-13.3,295.9,-3,166.8,11.4,3,24.25
WinterH,3,410.4,1490,-137.6,3,81,-13.4,27,-3,167.6,3.7,3,24.25
WinterH,3,410.4,1499,-136,5.2,95,-3.6,298.2,-8,165.9,16.8,3,24.25
WinterH,3,410.4,1509,-135.4,0.4,83,-13.1,41,3,165.2,4.5,3,24.25
WinterH,3,410.4,1521,-145.2,2.9,83,-13.8,43.9,-2,168,7.5,3,24.25
WinterH,3,410.4,1534,-155.1,1.3,79,-13.2,293.5,-8,172.5,33.6,3,24.25
WinterH,3,410.4,1548,-149.2,4.4,96,-8.7,32.3,3,178.9,31.5,3,24.25
WinterH,3,410.4,1562,-157.9,4.6,95,-8.5,41.6,-4,184.5,58.7,3,24.25
WinterH,3,410.4,1654,-151.3,0.5,77,-10.4,178.8,4,173.7,100.6,3,24.25
WinterH,3,410.4,1668,-154.1,2.7,92,-11.8,291.5,-14,179.8,116.6,3,24.25
WinterH,3,410.4,1680,-152.1,1.4,95,-3.5,186,4,178.3,144.1,3,24.25
WinterH,3,410.4,1688,-158.2,1.7,112,-7.5,177.8,1,184.9,144.3,3,24.25
WinterM,1,481.6,1605,-133.5,2.8,338,1.2,154.9,10,163.4,14.6,3,24.25
WinterM,1,481.6,1608,-132.1,5,96,-8.1,150.5,5,162,7.1,3,24.25
WinterM,1,481.6,1612,-127.6,3.8,19,-10.9,146,19,157.5,4.3,3,24.25
WinterM,1,481.6,1617,-132.3,2.7,27,-8.4,152.8,15,162.1,2.2,3,24.25
WinterM,1,481.6,1622,-140.8,2.9,325,-8.9,157.4,11,170.2,19.5,3,24.25
WinterM,1,481.6,1628,-136,5.9,37,-11.3,140.7,3,166,4.6,3,24.25
WinterM,1,481.6,1633,-137.2,5.7,105,-12.4,140.7,11,166.4,5.5,3,24.25
WinterM,1,481.6,1639,-137.7,3.8,331,-6.7,148.1,6,167.4,15.1,3,24.25
WinterM,1,481.6,1646,-132.7,5.5,107,-10.7,149.2,7,162.4,6.5,3,24.25
WinterM,1,481.6,1652,-127.4,2,10,-5.2,147,11,157.4,4.2,3,24.25
WinterM,1,481.6,1658,-138.1,4.9,217,-5.4,158.9,11,168.1,5.2,3,24.25
WinterM,1,481.6,1665,-140.4,2.2,43,-3.5,151.5,0,170.3,5.7,3,24.25
WinterM,1,481.6,1672,-140.3,2,84,-9.2,143.2,7,170.2,9.7,3,24.25
WinterM,1,481.6,1679,-157.1,5.1,326,-5.6,151.7,6,171.1,21.1,3,24.25
WinterM,1,481.6,1686,-145.3,3.3,329,-5.6,154.5,10,169.9,30.3,3,24.25
WinterM,1,481.6,1693,-154.1,2.3,33,-5.7,127.1,5,183.5,23.4,3,24.25
WinterM,1,481.6,1700,-153.7,4,15,-5.8,153.9,31,181.6,37.6,3,24.25
WinterM,1,481.6,1715,-149,4.6,34,-4.5,147.7,5,174.5,42.2,3,24.25
WinterM,1,481.6,1872,-152.5,2.2,244,-5.2,151.9,-4,182.4,34,3,24.25
WinterM,1,481.6,1876,-147.2,3.7,49,-12.8,160,10,177.1,43.1,3,24.25
WinterM,1,481.6,1882,-149.6,5.6,342,-5.5,151.2,7,171.9,102.8,3,24.25
WinterM,1,481.6,1891,-153.5,5.1,346,-6.1,137.2,23,183.3,49.9,3,24.25
WinterM,2,303.9,1013,-139.3,3.9,208,-16.7,175.9,3,169.1,6.9,3,24.25
WinterM,2,303.9,1016,-123.8,4.5,211,-18.5,159.3,5,153.7,5.9,3,24.25
WinterM,2,303.9,1021,-130.6,3.9,204,-14,162.1,10,159.5,7.3,3,24.25
WinterM,2,303.9,1026,-136.2,2.8,214,-17.7,51,10,166.1,20.3,3,24.25
WinterM,2,303.9,1031,-134.7,4.6,195,-20.7,313.8,5,164.7,2.1,3,24.25
WinterM,2,303.9,1037,-131,6.2,199,-15.1,241.5,-4,161,3.1,3,24.25
WinterM,2,303.9,1043,-145.2,3.4,215,-19.2,309,-3,174.6,10.9,3,24.25
WinterM,2,303.9,1049,-138,4.9,212,-14.9,140.1,11,167.5,16.8,3,24.25
WinterM,2,303.9,1056,-149.5,6.2,218,-19.9,317.7,0,178.1,12.5,3,24.25
WinterM,2,303.9,1063,-131.6,4,218,-20.6,164.3,11,160.5,32.4,3,24.25
WinterM,2,303.9,1070,-143.1,1.7,213,-15.2,140.6,5,170.2,20.6,3,24.25
WinterM,2,303.9,1077,-148.8,3.8,223,-17.6,135.2,22,178.7,6.7,3,24.25
WinterM,2,303.9,1118,-141.3,4,246,-19.8,241.4,7,171.3,1.8,3,24.25
WinterM,2,303.9,1181,-140.9,5.7,214,-18.8,165.9,13,162,49.6,3,24.25
WinterM,2,303.9,1184,-136,3.9,198,-14.6,134.8,9,166,13.3,3,24.25
WinterM,2,303.9,1306,-155.2,5.9,195,-10.9,166.9,17,177.1,103.5,3,24.25
WinterM,2,303.9,1310,-156.1,1.6,207,-18.3,135.1,7,172.8,77.9,3,24.25
WinterM,2,303.9,1315,-152.7,1.2,211,-16.4,45.4,13,172,80.7,3,24.25
WinterM,3,283.7,946,-122.5,1.3,295,0,137.1,15,152.5,2.1,3,24.25
WinterM,3,283.7,949,-127.5,4.2,284,-3.9,264.2,4,157.4,12.3,3,24.25
WinterM,3,283.7,955,-132.5,2.8,296,-1.4,272,19,162.4,9.6,3,24.25
WinterM,3,283.7,963,-122.2,2.6,313,1.8,131.5,5,152.2,0.4,3,24.25
WinterM,3,283.7,972,-128,5.3,298,3.5,137.5,-2,158,4.9,3,24.25
WinterM,3,283.7,981,-126.9,3.2,304,1.8,271.3,5,156.8,6.4,3,24.25
WinterM,3,283.7,992,-135.1,1.4,270,1.6,128.2,8,165,3.3,3,24.25
WinterM,3,283.7,1003,-133.4,4.5,290,0,273.5,10,163,17.2,3,24.25
WinterM,3,283.7,1015,-141.2,2.7,300,0.7,272.1,7,158.6,11.2,3,24.25
WinterM,3,283.7,1028,-149.7,2.6,294,0.9,97.6,5,177.5,39,3,24.25
WinterM,3,283.7,1041,-155,5.9,285,2.3,94.5,18,183.5,40.3,3,24.25
WinterM,3,283.7,1145,-144.8,0.9,297,3.3,286.2,18,174,71.5,3,24.25
WinterM,3,283.7,1149,-145.1,0.1,300,6.1,141.2,7,167.4,73.7,3,24.25
WinterM,3,283.7,1156,-146.3,2.7,290,-1.3,265.7,6,162.5,43.4,3,24.25
WinterM,3,283.7,1188,-150.9,2,301,-0.4,277.9,12,166.9,43.9,3,24.25
SpringL,1,136.3,454,-116.1,4.7,329,-4,355.9,-10,146.1,0,1,52.6
SpringL,2,358.8,1196,-149.7,1.3,105,-4.4,313.8,-2,179.2,10.1,1,52.6
SpringL,2,358.8,1199,-144.3,1.2,117,-10.7,290.2,-5,174.3,1,1,52.6
SpringL,2,358.8,1202,-148.3,5.6,110,-7.8,144.6,3,178.3,5.8,1,52.6
SpringL,2,358.8,1205,-152.8,4,102,-9.1,309.9,-4,181.1,13.5,1,52.6
SpringL,2,358.8,1258,-151.3,3.9,123,-6.1,309.8,1,181.3,10.7,1,52.6
SpringL,2,358.8,1261,-159.1,4.1,97,-12.8,153.2,0,189,12.2,1,52.6
SpringL,2,358.8,1267,-155,3.9,115,-10.4,312.7,-8,184.6,16.9,1,52.6
SpringL,2,358.8,1270,-159.3,5.5,82,-6.4,303.8,-10,189.3,2.4,1,52.6
SpringL,2,358.8,1282,-159.2,1.6,81,-8.6,143.6,18,189.2,0.9,1,52.6
SpringL,3,393.5,1312,-150.5,5.4,234,-4.5,208.5,13,180.5,1.8,1,52.6
SpringL,3,393.5,1314,-158.9,3,236,-4.9,267,6,188.2,32.5,1,52.6
SpringL,3,393.5,1320,-156.3,1.5,232,-4,131.2,-3,185.7,3.2,1,52.6
SpringL,3,393.5,1322,-151.9,0.4,209,-0.8,260.7,8,181.8,27,1,52.6
SpringL,3,393.5,1325,-150.1,1.3,226,-4.3,131,7,180.1,2.6,1,52.6
SpringL,3,393.5,1328,-149.7,2.9,205,-4.9,118.6,-1,179.7,1,1,52.6
SpringL,3,393.5,1336,-141.1,2.8,216,-3.6,328,-9,171.1,5.1,1,52.6
SpringL,3,393.5,1344,-158.9,6.2,205,-0.2,5.3,13,188.8,3.4,1,52.6
SpringL,3,393.5,1454,-154.3,6,242,-4.8,259.8,-4,184.3,8.2,1,52.6
SpringH,1,267.5,892,-128.8,0.6,258,-3.9,295.8,-1,158.8,2.8,1,52.6
SpringH,1,267.5,895,-127.9,0.7,247,-12.8,71.1,2,157.6,23,1,52.6
SpringH,1,267.5,900,-129.5,3.9,237,-9.5,77.1,1,159.3,19.2,1,52.6
SpringH,1,267.5,906,-122.9,1.3,256,-9.3,283.8,5,152.9,2.6,1,52.6
SpringH,1,267.5,913,-131.1,2.7,257,-13.5,282.8,15,159.8,5.3,1,52.6
SpringH,1,267.5,949,-119.5,5.1,265,-9.2,87.3,5,149.5,0.4,1,52.6
SpringH,1,267.5,1008,-144.7,2.1,243,-4.3,283.8,10,172.9,49.5,1,52.6
SpringH,1,267.5,1011,-137,1.7,242,-9.5,71.3,2,160.1,46.6,1,52.6
SpringH,1,267.5,1017,-140.6,5.1,257,-5.1,274,11,167.2,55.3,1,52.6
SpringH,1,267.5,1025,-155.9,1.3,230,-7.5,64.3,3,182,60.5,1,52.6
SpringH,1,267.5,1034,-148.7,4.1,259,-9.3,82.6,-13,176.6,55.6,1,52.6
SpringH,1,267.5,1043,-149.8,3.6,265,-10,297.3,8,174.2,61.5,1,52.6
SpringH,2,364,1216,-156.9,0.5,295,-5.3,339.3,5,186.8,4,1,52.6
SpringH,2,364,1221,-157.9,2.4,87,-1.4,343.7,0,187.7,6.7,1,52.6
SpringH,2,364,1224,-157.3,1.8,87,-9.6,351.7,-4,187,2.1,1,52.6
SpringH,2,364,1316,-156.3,3.5,156,-4,334.7,-1,185.8,22.7,1,52.6
SpringH,3,199.5,665,-137.9,1,221,1.5,189.9,7,167.9,1.1,1,52.6
SpringH,3,199.5,669,-141,3.3,255,-0.7,104,-4,171,0.7,1,52.6
SpringH,3,199.5,676,-141.2,2,252,0,267.8,4,171.2,2,1,52.6
SpringH,3,199.5,685,-136.4,4.9,239,0.7,187.1,-2,166.4,2,1,52.6
SpringH,3,199.5,695,-143.6,0.4,239,2.7,270.7,-5,173.6,1.6,1,52.6
SpringH,3,199.5,707,-155.9,3.9,241,0.3,181.1,-1,171.4,4.5,1,52.6
SpringH,3,199.5,720,-141.4,4,235,-0.3,197.3,-11,171.4,3.7,1,52.6
SpringH,3,199.5,734,-152.8,0.5,246,3.4,103.5,21,182.7,6.4,1,52.6
SpringH,3,199.5,749,-153.7,5.3,249,2.6,185.7,-13,183.3,18.8,1,52.6
SpringM,1,198.9,663,-139.3,0.6,257,-10.1,115,15,169.3,3.5,1,52.6
SpringM,1,198.9,666,-132.8,4.3,265,-4.9,29.9,4,162.8,1.8,1,52.6
SpringM,1,198.9,671,-135.1,0.9,149,0.5,329.2,6,165.1,2.3,1,52.6
SpringM,1,198.9,677,-141.7,3.3,164,-1.7,109.2,6,171.7,0.9,1,52.6
SpringM,1,198.9,684,-131.9,0,256,-6.9,262.5,15,161.9,3,1,52.6
SpringM,1,198.9,691,-139.7,2.7,160,-7.6,39.1,15,169.7,0.5,1,52.6
SpringM,1,198.9,699,-153,1.4,269,-7.4,335.3,7,179.1,29.3,1,52.6
SpringM,1,198.9,707,-146.6,4.1,274,-8.8,332.1,3,175.3,30,1,52.6
SpringM,1,198.9,716,-146.7,3.2,16,-12.4,328,2,176.7,5.2,1,52.6
SpringM,1,198.9,725,-154,3.8,262,-2.8,338.7,1,183.1,23.4,1,52.6
SpringM,1,198.9,734,-151.6,1.3,31,-8.4,333.7,16,181.6,3.9,1,52.6
SpringM,1,198.9,744,-148.7,0.9,14,-5.9,252.3,16,178.7,4.5,1,52.6
SpringM,1,198.9,780,-146.5,0.1,271,-5.2,327.7,2,175.3,32.3,1,52.6
SpringM,1,198.9,783,-143.4,5.9,34,-4.5,256.2,8,173.4,3.7,1,52.6
SpringM,1,198.9,788,-139.9,4.4,263,-8.1,90.2,3,169.9,8.8,1,52.6
SpringM,1,198.9,794,-143,3.5,250,-11.4,98,-4,173,6.3,1,52.6
SpringM,1,198.9,800,-152.7,1.9,24,-11.5,93.5,1,182.6,3.5,1,52.6
SpringM,1,198.9,807,-146.9,0.3,259,-4.7,250.8,15,175.1,58.6,1,52.6
SpringM,1,198.9,830,-159.3,0.1,277,-8.4,30.8,4,180.5,55.4,1,52.6
SpringM,1,198.9,993,-154.4,5.2,257,-5.8,96.9,14,183.3,119.9,1,52.6
SpringM,2,10,33,-100.8,2.7,324,-7.7,109,11,130.6,1.4,1,52.6
SpringM,2,10,36,-97.6,2.2,338,-4.8,140.6,10,127.5,2,1,52.6
SpringM,2,10,39,-106.8,4.4,326,-3.6,115.2,11,134.2,3.3,1,52.6
SpringM,2,10,41,-110.1,2.3,327,-6.3,129.8,12,136.6,8.1,1,52.6
SpringM,2,10,44,-107.3,2,329,-7.1,124.6,13,135.6,6.1,1,52.6
SpringM,2,10,47,-116.9,4.3,348,-8.7,119.9,16,146.8,1.1,1,52.6
SpringM,2,10,49,-107.7,3.7,335,-5.2,136.1,-1,136.9,5.2,1,52.6
SpringM,2,10,52,-119.5,1.5,338,-10.5,126.1,9,142.8,6.7,1,52.6
SpringM,2,10,55,-113.5,2.4,315,-8.3,135.7,15,143.4,3.3,1,52.6
SpringM,2,10,58,-108.7,1.3,333,-10.6,128.9,13,136.4,8.4,1,52.6
SpringM,2,10,60,-111.1,1.6,332,-5.3,134.9,8,134.6,10.9,1,52.6
SpringM,2,10,63,-128.7,5.3,320,-4.7,122.6,8,144.5,8.5,1,52.6
SpringM,2,10,66,-116.3,2.7,327,-10.4,128.7,-8,146,6,1,52.6
SpringM,2,10,69,-119.9,4.1,341,-6.7,134.4,18,141.4,12,1,52.6
SpringM,2,10,71,-119.6,3.3,318,-4.6,128.7,1,149.2,7.6,1,52.6
SpringM,2,10,74,-119,5.9,333,-8.8,131.9,13,136.4,11,1,52.6
SpringM,2,10,77,-122.8,2.1,324,-11.4,127.7,12,139.9,9.4,1,52.6
SpringM,2,10,80,-121.4,2.3,319,0.9,112.7,14,142.6,15.2,1,52.6
SpringM,2,10,83,-123.6,4.7,322,-2.2,131.6,10,143.8,13.5,1,52.6
SpringM,3,404.1,1347,-142.5,4,107,-5.7,247.7,-2,171.1,12.3,1,52.6
SpringM,3,404.1,1350,-145.6,5.3,360,-10.8,255,-4,175.5,6.5,1,52.6
SpringM,3,404.1,1353,-140.7,1.3,114,-6.3,248.8,0,170,13.8,1,52.6
SpringM,3,404.1,1356,-139.7,2.8,351,-6.6,259.5,9,169.6,1.3,1,52.6
SpringM,3,404.1,1360,-153,4.6,117,-10.9,256.1,-7,181.3,7.6,1,52.6
SpringM,3,404.1,1392,-151.3,0.7,351,-8.4,256.9,-3,179.3,20.6,1,52.6
SpringM,3,404.1,1396,-149.2,2.8,130,-7.7,249.6,-11,179.2,1.8,1,52.6
SpringM,3,404.1,1401,-150.5,3.1,93,-5.9,243.3,-2,180.4,7.1,1,52.6
SpringM,3,404.1,1408,-153.8,4.4,3,-10.8,240.5,7,183.7,7.2,1,52.6
SpringM,3,404.1,1434,-156.9,0.3,120,-4.8,241.6,5,182.3,40.6,1,52.6
SpringM,3,404.1,1444,-152.5,3.8,112,-8.7,244.1,2,173.3,30.9,1,52.6
FallL,1,199.4,665,-147.2,0.5,81,-5.2,21.1,14,176.5,9.1,0,52.6
FallL,1,199.4,668,-141.3,5,69,-3.9,242.3,3,170.5,30.9,0,52.6
FallL,1,199.4,673,-141.7,2.5,89,-7.5,20.5,7,171.7,3.9,0,52.6
FallL,1,199.4,680,-148.7,0.3,82,-9,255.4,2,178.5,17.9,0,52.6
FallL,1,199.4,687,-142.7,2,72,-4.6,249.2,3,171.6,13.3,0,52.6
FallL,1,199.4,695,-150,5.5,85,-7.5,359.7,9,180,3.3,0,52.6
FallL,1,199.4,703,-146.2,5.9,71,-4.5,352.5,7,176.2,3.4,0,52.6
FallL,1,199.4,711,-148.6,2.7,73,0.9,8.7,4,178.3,29.9,0,52.6
FallL,1,199.4,721,-157,5.4,60,-10.3,358.1,17,186.9,5.2,0,52.6
FallL,1,199.4,730,-150.1,3,69,-9.2,12.9,8,179.4,36,0,52.6
FallL,1,199.4,794,-144.3,3.3,62,-1.6,239.7,-1,173.4,49.6,0,52.6
FallL,1,199.4,797,-150.6,1.5,77,-8,11.4,4,179.5,38.3,0,52.6
FallL,1,199.4,913,-156.1,1.6,75,-8.1,261,-7,185.7,64,0,52.6
FallL,1,199.4,918,-157.2,1.1,66,-6.8,20.6,10,185,95,0,52.6
FallL,3,121.5,405,-130.4,3,15,-10.3,237.2,0,160.3,8.4,0,52.6
FallL,3,121.5,409,-124.1,5.6,353,-6.2,237.7,1,154.1,7.8,0,52.6
FallL,3,121.5,414,-138.2,5.5,345,-12.1,247.7,-1,167.7,16.5,0,52.6
FallL,3,121.5,420,-143.8,5.4,342,-5.5,234.8,-3,169.5,23.5,0,52.6
FallL,3,121.5,427,-140.4,2.4,5,-6.4,213.3,-5,170.4,4,0,52.6
FallL,3,121.5,435,-138.2,2.4,4,-8.7,240.2,2,167,66.9,0,52.6
FallL,3,121.5,443,-140.3,3.9,11,-6,233.3,-1,164.7,22.1,0,52.6
FallL,3,121.5,451,-137.4,4.2,348,-13,237,-1,161.8,23.1,0,52.6
FallL,3,121.5,460,-143.8,1.8,9,-3.9,225,-3,172.6,14.2,0,52.6
FallL,3,121.5,470,-145.9,0.7,341,-13.8,231.9,-4,173.1,22.4,0,52.6
FallL,3,121.5,480,-145.4,0.1,6,-9.9,234,-3,168.3,41.6,0,52.6
FallL,3,121.5,490,-154.3,0.9,354,-11.8,235.9,-1,158.4,14.7,0,52.6
FallL,3,121.5,701,-156.9,3.9,334,-4.5,231.6,4,183.4,142.9,0,52.6
FallL,3,121.5,705,-149.1,1.6,3,-9.2,240.8,2,167.4,69.7,0,52.6
FallL,3,121.5,711,-150.3,5.1,358,-9.9,242.1,0,161.2,33.7,0,52.6
FallL,3,121.5,726,-158.1,1.3,347,-10.4,239.5,-3,162.4,24,0,52.6
FallH,1,263,877,-136.5,4.5,286,-0.5,253.6,8,166.5,2.9,0,52.6
FallH,1,263,879,-143.6,2.7,271,-5.6,149.2,4,172.1,33,0,52.6
FallH,1,263,883,-146.1,4.4,273,-5.2,248.5,6,174.6,75.7,0,52.6
FallH,1,263,934,-151.3,5.3,33,-4.9,248.8,3,180.2,47.9,0,52.6
FallH,1,263,937,-144.1,2.4,264,-5,252.9,11,173.7,16.1,0,52.6
FallH,1,263,939,-142,3.3,278,-5.6,143,1,171.7,13.4,0,52.6
FallH,1,263,942,-136.5,4.7,20,-5,255.2,17,166.5,0.7,0,52.6
FallH,1,263,945,-151.2,2.5,256,-7.3,130.7,4,181.1,9.6,0,52.6
FallH,1,263,948,-152.1,4.8,46,-4.6,247.5,8,181.5,20.8,0,52.6
FallH,1,263,951,-145.7,2.9,40,-4.5,249.8,17,175.6,12.3,0,52.6
FallH,1,263,954,-154.4,5.5,272,-6.8,237.6,9,183.1,48.3,0,52.6
FallH,1,263,956,-147.4,1.7,270,-4.8,146.6,2,172.5,36.4,0,52.6
FallH,1,263,959,-151.2,4.5,36,-4.8,137.3,12,181.1,5.6,0,52.6
FallH,1,263,962,-158.6,0.8,44,-11.1,131.7,2,187.9,12.7,0,52.6
FallH,1,263,965,-154.4,2.2,269,-2.6,253.1,2,179.1,53.7,0,52.6
FallH,1,263,968,-152,3.3,47,-12,266.6,27,182,2.9,0,52.6
FallH,1,263,971,-159.7,2.1,31,-8.2,246.6,7,181.1,60,0,52.6
FallH,1,263,974,-156.3,4.4,22,-10.4,134.7,-3,186.1,7.3,0,52.6
FallH,1,263,980,-159.2,5.7,46,-11,256.8,10,187.5,34.6,0,52.6
FallH,1,263,986,-155,4.8,267,-7.5,252.5,10,174.9,28.9,0,52.6
FallH,1,263,992,-153.3,4.4,34,-7.8,133.1,3,183,9.1,0,52.6
FallH,1,263,998,-152.6,4.3,291,-4.5,132.6,1,182.5,15,0,52.6
FallH,1,263,1056,-148.9,3.4,51,-8,151.4,0,178.9,8.9,0,52.6
FallH,1,263,1060,-149.9,5.8,36,-11.1,247.6,7,179.1,45.9,0,52.6
FallH,1,263,1066,-151.4,4.4,253,-4,141.3,-3,181.3,13.6,0,52.6
FallH,1,263,1073,-150.1,4.8,275,-4,245.8,5,175.4,89.6,0,52.6
FallH,2,109.5,365,-122.9,1.5,122,1.4,5.7,-16,152.8,5.9,0,52.6
FallH,2,109.5,397,-124.1,0.2,118,1.5,337.9,15,154.1,3.8,0,52.6
